Matricula;Nome;Situacao;Cargo;Area;Chefe;Lotacao;Sexo;Grau_Instrucao;Data_Nascimento
10001;Jennifer Lopez;0;Professora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;24/07/1969
10002;Isabela Fontana;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;20/07/1982
10003;Paolla Oliveira;Ativa;Auxiliar Administrativa;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;05/08/1982
10004;Ana Hickman;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;01/03/1971
10005;Charlize Theron;Ativa;Professora;Acadêmica;Sim;Coordenação de ADS;F;Mestrado;07/08/1975
10006;Kate Beckinsale;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Pós-Graduado;26/07/1973
10007;Jennifer Aniston;Ativa;Professora;Acadêmica;Sim;Coordenação de ADS;F;Pós-Graduado;02/02/1969
10008;Angelina Jolie;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;04/06/1975
10009;Scarlett Johansson;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;22/11/1984
10010;Emma Stone;Ativa;Auxiliar Administrativa;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;06/11/1988
10011;Margot Robbie;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;x
10012;Gal Gadot;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;
10013;Blake Lively;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;25/08/1987
10014;Natalie Portman;Ativa;Professora;Acadêmica;Sim;Coordenação de ADS;F;Doutorado;09/06/1981
10015;Amber Heard;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;22/04/1986
10016;Meghan Markle;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;04/08/1981
10017;;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;01/09/1996
10018;Rihanna;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;20/02/1988
10019;Taylor Swift;Ativa;;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;8
10020;Ariana Grande;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;26/03/1993
10021;Dua Lipa;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;22/08/1995
10022;Billie Eilish;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;18/12/2001
10023;;Ativa;Psicóloga;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;22/11/1996
10024;Kendall Jenner;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;03/11/1995
10025;Kylie Jenner;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;10/08/1997
10026;Kim Kardashian;Ativa;Secretária;Administrativa;Sim;SAA - Secretaria Acadêmica;F;Pós-Graduado;21/10/1980
10027;Beyonce Knowles;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;04/09/1981
10028;Oprah Winfrey;Ativa;Professora;Acadêmica;Sim;Coordenação de ADS;F;Pós-Graduado;29/01/1954
10029;Ellen DeGeneres;Inativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;26/01/1958
10030;Sandra Bullock;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Pós-Graduado;26/07/1964
10031;Julia Roberts;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;28/10/1967
10032;Cameron Diaz;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;30/08/1972
10033;Drew Barrymore;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;22/02/1975
10034;Madonna;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;16/08/1958
10035;Cher;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;20/05/1946
10036;Mariah Carey;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;27/03/1969
10037;Celine Dion;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;30/03/1968
10038;Britney Spears;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;02/12/1981
10039;Christina Aguilera;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Pós-Graduado;18/12/1980
10040;Shakira;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;02/02/1977
10041;Gwen Stefani;Inativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;03/10/1969
10042;Nelly Furtado;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;13/12/1978
10043;Amy Winehouse;Inativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;14/09/1983
10044;Adele;Ativa;Professora;Acadêmica;Sim;Coordenação de ADS;F;Pós-Graduado;05/05/1988
10045;Sam Smith;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;19/05/1992
10046;Demi Lovato;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;20/08/1992
10047;Miley Cyrus;Ativa;Instrutora;Acadêmica;Não;Coordenação de Banco de Dados;F;Graduado;23/11/1992
10048;Lady Gaga;Ativa;Professora;Acadêmica;Não;Coordenação de ADS;F;Mestrado;28/03/1986
10049;Katy Perry;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;25/10/1984
10050;Nicki Minaj;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Pós-Graduado;08/12/1982
10051;Cardi B;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Graduado;11/10/1992
10052;Lizzo;Inativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Pós-Graduado;27/04/1988
10053;Halsey;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;29/09/1996
10054;Olivia Wilde;Ativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Mestrado;10/03/1984
10055;Anne Hathaway;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;12/11/1982
10056;Amy Adams;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;20/08/1974
10057;Jessica Alba;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;28/04/1981
10058;Eva Mendes;Inativa;Secretária;Administrativa;Não;SAA - Secretaria Acadêmica;F;Graduado;05/03/1974
10059;Alexa Chung;Ativa;Instrutora;Acadêmica;Não;Coordenação de ADS;F;Pós-Graduado;29/11/1983
10060;Karlie Kloss;Ativa;Professora;Acadêmica;Não;Coordenação de Banco de Dados;F;Mestrado;03/08/1992
10061;Gigi Hadid;Ativa;Auxiliar Administrativa;Administrativa;Não;Depto de Recursos Humanos;F;Graduado;23/04/1995
